"date","status","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-02-17,1,0,0,12,16,27,48,16,2,0,0
2021-02-18,1,0,0,72,89,101,118,60,5,0,0
2021-02-19,1,0,0,614,897,988,1035,490,40,1,0
2021-02-20,1,0,0,104,157,162,132,58,4,1,0
2021-02-21,1,0,0,47,52,34,22,6,0,0,0
2021-02-22,1,0,0,1002,1393,1424,1239,546,69,3,0
2021-02-23,1,0,0,23,32,41,29,12,2,0,0
2021-02-24,1,0,0,970,1330,1275,1103,500,66,2,0
2021-02-25,1,0,0,862,1071,1152,872,391,67,3,0
2021-02-26,1,0,0,1114,1360,1489,1185,547,69,4,0
2021-02-27,1,0,0,20,23,47,39,13,9,0,0
2021-02-28,1,0,1,1,0,1,0,0,0,0,0
2021-03-01,1,0,0,585,646,640,522,258,53,1,0
2021-03-02,1,0,0,450,517,508,418,209,43,2,0
2021-03-03,1,0,0,512,575,542,422,201,57,4,0
2021-03-04,1,0,0,456,488,492,424,198,51,5,0
2021-03-05,1,0,0,1806,2389,2458,2059,1063,174,13,0
2021-03-06,1,0,1,420,582,569,450,261,65,7,0
2021-03-07,1,0,0,498,554,549,410,235,60,5,1
2021-03-08,1,0,2,5751,7651,7887,6124,3298,535,48,1
2021-03-09,1,0,5,7138,9196,9777,7345,3576,771,60,8
2021-03-10,1,0,3,8234,10343,11185,8252,3996,877,75,4
2021-03-11,1,0,0,6694,8444,9546,7051,3302,705,74,4
2021-03-12,1,0,1,8008,10538,11585,9050,4045,879,60,4
2021-03-13,1,0,1,1851,1985,2034,1699,800,182,25,3
2021-03-14,1,0,0,194,229,299,251,134,46,8,0
2021-03-15,1,0,5,10327,13499,15334,11765,5901,1283,144,7
2021-03-16,1,0,6,12271,15383,17389,13702,6678,1762,142,13
2021-03-17,1,0,3,13072,16391,18310,14653,7403,1975,160,8
2021-03-18,1,0,7,13162,16458,18276,14286,7251,1858,153,6
2021-03-19,1,0,14,13294,17140,19096,15204,7399,1734,144,21
2021-03-20,1,0,1,1217,1489,1805,1425,753,202,20,2
2021-03-21,1,0,1,605,798,937,790,458,154,26,3
2021-03-22,1,0,7,6264,8115,9284,7004,3520,882,71,7
2021-03-23,1,0,8,6420,8109,9071,7009,3598,933,75,11
2021-03-24,1,0,11,6521,7973,8952,6979,3569,925,69,4
2021-03-25,1,0,12,7008,8194,9074,6984,3603,981,79,8
2021-03-26,1,0,11,7049,8761,10237,8045,3911,878,91,1
2021-03-27,1,0,4,1380,1762,1809,1516,826,269,22,3
2021-03-28,1,0,0,281,405,589,513,341,113,16,1
2021-03-29,1,0,11,4441,4536,5384,4455,2522,729,61,6
2021-03-30,1,0,10,4630,5203,6213,5255,2892,872,74,2
2021-03-31,1,0,6,4228,4937,6192,5111,2738,881,80,3
2021-04-01,1,0,8,3655,4003,4628,3935,2274,697,59,2
2021-04-02,1,0,14,5765,5141,5903,4748,2679,735,70,5
2021-04-03,1,0,10,1947,1516,1777,1672,1031,388,55,2
2021-04-04,1,0,1,486,487,650,579,423,173,18,4
2021-04-05,1,0,14,6022,5840,6613,5621,3286,1088,122,11
2021-04-06,1,0,22,7128,7332,8664,7201,4250,1473,148,19
2021-04-07,1,0,50,8352,8075,9625,8111,4812,1636,167,14
2021-04-08,1,0,44,4124,3909,4425,3726,2240,788,80,5
2021-04-09,1,0,88,8241,7335,8421,6801,3905,1201,120,16
