"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,1.50991742602586e-09,1.03763505174863e-06,9.20341046235931e-07,4.60834810131535e-07,2.04372487011753e-07,4.89757338280035e-07,6.54356777381647e-09,2.02769242864333e-09,3.01878929072673e-08
2021-02-19,0,4.62262066923588e-09,3.14851298088711e-06,2.79287061944175e-06,1.40124399805202e-06,6.23097556482874e-07,1.49453213789342e-06,2.02786061167413e-08,6.32323800121995e-09,9.33678605990008e-08
2021-02-20,0,9.43669002829063e-09,6.36946023191689e-06,5.65053568095761e-06,2.84072841104983e-06,1.26664248692636e-06,3.04088630042902e-06,4.1917168679461e-08,1.31552421195556e-08,1.92604560392029e-07
2021-02-21,0,1.60567690200369e-08,1.07385633420049e-05,9.52742044935361e-06,4.79958103985446e-06,2.14598550461488e-06,5.15675048107011e-06,7.22418116608634e-08,2.28241238551872e-08,3.31247318650823e-07
2021-02-22,0,2.45939372972307e-08,1.62952118101036e-05,1.4458785462237e-05,7.29891912853385e-06,3.27264070577341e-06,7.87149449758906e-06,1.12112574376582e-07,3.5665883951347e-08,5.12956571268501e-07
2021-02-23,0,3.51661065021807e-08,2.30801424071944e-05,2.04811079660644e-05,1.03607175803565e-05,4.65868419247364e-06,1.12160013480863e-05,1.6247465096422e-07,5.20563191023916e-08,7.41732759632759e-07
2021-02-24,0,4.78984404669169e-08,3.11354849748879e-05,2.76321236781413e-05,1.40078437114564e-05,6.31678148114605e-06,1.5222745021047e-05,2.24366821649518e-07,7.24157353663077e-08,1.02194791004645e-06
2021-02-25,0,6.29238012572407e-08,4.05048097610743e-05,3.59508699663947e-05,1.82640934061735e-05,8.26021624546516e-06,1.99258722904812e-05,2.98930718771021e-07,9.72142198257401e-08,1.35838014572429e-06
2021-02-26,0,8.03832226500937e-08,5.12331763428234e-05,4.54777304939439e-05,2.31542287300538e-05,1.05029204583402e-05,2.53612886985457e-05,3.87421010204404e-07,1.26977536614118e-07,1.75625140359917e-06
2021-02-27,0,1.00426412731429e-07,6.33671841882692e-05,5.62544813769765e-05,2.87040170586824e-05,1.30595060008599e-05,3.15667489381486e-05,4.91216591007776e-07,1.62293721253657e-07,2.2212686534244e-06
2021-02-28,0,1.23212287405526e-07,7.69550249108012e-05,6.83243389059578e-05,3.49402717827976e-05,1.59452978093045e-05,3.85819518586201e-05,6.11832883098979e-07,2.03820456009471e-07,2.75966894425018e-06
2021-03-01,0,1.48909536716827e-07,9.2046536270502e-05,8.17320088817679e-05,4.18908946524871e-05,1.91763686347582e-05,4.6448640328622e-05,7.50935352654943e-07,2.52293318758492e-07,3.37826863349927e-06
2021-03-02,0,1.77697226002266e-07,0.000108693257979439,9.65237376199635e-05,4.95849198257159e-05,2.27695754934361e-05,5.52107062020889e-05,9.10354365779785e-07,3.08535008826188e-07,4.08451718680417e-06
2021-03-03,0,2.0976543401619e-07,0.000126948489369117,0.000112747364678013,5.80525596889666e-05,2.67425978895879e-05,6.49143006451604e-05,1.09210151491889e-06,3.73465665495408e-07,4.88655597275289e-06
2021-03-04,0,2.45315930301649e-07,0.000146867348980157,0.000130452377362047,6.73252525204017e-05,3.11139778967695e-05,7.56079500948053e-05,1.29838756160703e-06,4.4811440859373e-07,5.79328251600449e-06
2021-03-05,0,2.84562894221703e-07,0.000168506836136039,0.000149689967071399,7.74357120686821e-05,3.59031621873821e-05,8.73426781331794e-05,1.53164215554633e-06,5.33632245890021e-07,6.81442071518421e-06
2021-03-06,0,3.27733678212775e-07,0.000191925894564598,0.000170513087540999,8.84179791233975e-05,4.11305461046845e-05,0.000100172133575718,1.79453550584231e-06,6.31306509169668e-07,7.9605975788863e-06
