"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,9.87901971514966e-09,2.89531191915237e-06,2.53155816514332e-06,1.46678940476481e-06,7.76241831554136e-07,9.90055006573474e-07,2.45388975490412e-08,9.71808642910258e-09,1.0468775730289e-07
2021-02-19,0,3.02446658433395e-08,8.78488330407112e-06,7.68196237190165e-06,4.45989801772611e-06,2.36659556302096e-06,3.02118860187616e-06,7.60463423492356e-08,3.03052670561732e-08,3.23787170533901e-07
2021-02-20,0,6.17419151065405e-08,1.77710195261704e-05,1.55414918833974e-05,9.04126435185391e-06,4.8107763033889e-06,6.14704960134305e-06,1.57192543506115e-07,6.30488736665997e-08,6.67925248287272e-07
2021-02-21,0,1.05055412557417e-07,2.99594960771623e-05,2.62035185789162e-05,1.52753324849882e-05,8.15043384268748e-06,1.04240466681256e-05,2.70912086149638e-07,1.09388707853506e-07,1.14871596781779e-06
2021-02-22,0,1.60911911223984e-07,4.54596745045764e-05,3.97646115184745e-05,2.32291527594507e-05,1.24292466224772e-05,1.59114897817654e-05,4.20430105785606e-07,1.70935098999322e-07,1.77885191698702e-06
2021-02-23,0,2.30082861782743e-07,6.43846220971763e-05,5.63246449459066e-05,3.29724864743353e-05,1.76930202430737e-05,2.26717389049752e-05,6.09291053731991e-07,2.49489100896907e-07,2.57220444118147e-06
2021-02-24,0,3.13387161484883e-07,8.68512354328877e-05,7.59869098366802e-05,4.45779147242514e-05,2.3989790723771e-05,3.07703602091062e-05,8.4139031008046e-07,3.4706508027222e-07,3.5439330837112e-06
2021-02-25,0,4.11694072127144e-07,0.00011298036790461,9.88582290994394e-05,5.81209515438402e-05,3.13699327423633e-05,4.0276290236337e-05,1.12100892599093e-06,4.65915980457105e-07,4.71060518114339e-06
2021-02-26,0,5.25926317460725e-07,0.000142896961342066,0.000125049076543094,7.36801615230918e-05,3.98862730907308e-05,5.12620083948615e-05,1.45285180500139e-06,6.0856157699636e-07,6.09032655469027e-06
2021-02-27,0,6.57063371070396e-07,0.000176730181850637,0.000154673699724133,9.13372820643697e-05,4.95942095941816e-05,6.3803718202401e-05,1.84208966366354e-06,7.77820079477841e-07,7.70288432576499e-06
2021-02-28,0,8.06144946433966e-07,0.00021461355999095,0.000187850246791721,0.000111177350458103,6.05518357536307e-05,7.79815377132468e-05,2.29440514546876e-06,9.76843475816979e-07,9.5699029788125e-06
2021-03-01,0,9.74274701591881e-07,0.000256685135425787,0.000224700897451052,0.000133288835960329,7.28200713815784e-05,9.38796995847914e-05,2.81604349900621e-06,1.20915706213258e-06,1.17150148982392e-05
2021-03-02,0,1.16262417162054e-06,0.000303087606163704,0.000265351998168374,0.000157763777061658,8.64627995152328e-05,0.000111586761261144,3.4138682719231e-06,1.47870365380565e-06,1.41640467194988e-05
2021-03-03,0,1.37243694291359e-06,0.000353968482531578,0.000309934201744035,0.000184697924143827,0.000101547009903024,0.000131195825773983,4.09542251689552e-06,1.78989303197309e-06,1.6945222958003e-05
2021-03-04,0,1.60503308413601e-06,0.000409480246011072,0.000358582611382887,0.000214190887726717,0.000118142949374197,0.000152804773684311,4.86899605486103e-06,2.14765724530606e-06,2.00893885144454e-05
2021-03-05,0,1.86181384962885e-06,0.000469780513076812,0.000411436929394347,0.00024634629251568,0.000136324279415166,0.000176516506713238,5.74369939464462e-06,2.55751246027878e-06,2.36302518023874e-05
2021-03-06,0,2.14426667201218e-06,0.000535032204176814,0.000468641610657384,0.000281271937466064,0.000156168241290882,0.000202439203635418,6.72954496730263e-06,3.02562813516226e-06,2.76046504046402e-05
2021-03-07,0,2.4539704617621e-06,0.000605403717998421,0.000530346020988698,0.000319079962089134,0.000177755829064618,0.000230686589035242,7.83753639853617e-06,3.55890438470347e-06,3.20528413403136e-05
2021-03-08,0,2.79260123263016e-06,0.000681069111165688,0.000596704600555283,0.000359887019231002,0.00020117197088534,0.000261378215553433,9.07976661395893e-06,4.1650585050167e-06,3.70188182156727e-05
2021-03-09,0,3.16193807293178e-06,0.000762208283516762,0.00066787703247553,0.000403814454563786,0.000226505718928211,0.000294639760280304,1.04695256504706e-05,4.85272174289917e-06,4.2550657740576e-05
2021-03-10,0,3.56386948396088e-06,0.00084900716911236,0.000744028416755944,0.00045098849303599,0.000253850448390804,0.000330603335981632,1.20214191331765e-05,5.63154752201481e-06,4.87008983197891e-05
2021-03-11,0,4.00040010809271e-06,0.000941657933128941,0.000825329449713397,0.000501540432537019,0.00028330406596527,0.00036940781787387,1.37514984719583e-05,6.51233248176377e-06,5.5526953676539e-05
