Infection,a0009,a1019,a2029,a3039,a4049,a5059,a6069,a7079,a8089,a90,cases
2021/2/2,80,80,80,80,80,80,80,80,80,80,800
2021/2/3,80,80,80,80,80,80,80,80,80,80,800
2021/2/4,80,80,80,80,80,80,80,80,80,80,800
2021/2/5,80,80,80,80,80,80,80,80,80,80,800
2021/2/6,80,80,80,80,80,80,80,80,80,80,800
2021/2/7,80,80,80,80,80,80,80,80,80,80,800
2021/2/8,80,80,80,80,80,80,80,80,80,80,800
2021/2/9,80,80,80,80,80,80,80,80,80,80,800
2021/2/10,80,80,80,80,80,80,80,80,80,80,800
2021/2/11,80,80,80,80,80,80,80,80,80,80,800
2021/2/12,80,80,80,80,80,80,80,80,80,80,800
2021/2/13,80,80,80,80,80,80,80,80,80,80,800
2021/2/14,80,80,80,80,80,80,80,80,80,80,800
2021/2/15,80,80,80,80,80,80,80,80,80,80,800
2021/2/16,80,80,80,80,80,80,80,80,80,80,800
2021/2/17,80,80,80,80,80,80,80,80,80,80,800
2021/2/18,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,81.9,819
2021/2/19,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,83.8,838
2021/2/20,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,85.8,858
2021/2/21,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8,87.8,878
2021/2/22,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,89.8,898
2021/2/23,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,91.9,919
2021/2/24,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,93.9,939
2021/2/25,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,95.9,959
2021/2/26,98,98,98,98,98,98,98,98,98,98,980
2021/2/27,100,100,100,100,100,100,100,100,100,100,1000
2021/2/28,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,102.1,1021
2021/3/1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,104.1,1041
2021/3/2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,106.2,1062
2021/3/3,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,108.2,1082
2021/3/4,110.2,110.2,110.2,110.2,110.2,110.2,110.2,110.2,110.2,110.2,1102
2021/3/5,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,112.2,1122
2021/3/6,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,1142
2021/3/7,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,116.2,1162
2021/3/8,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,1181
2021/3/9,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,120.1,1201
2021/3/10,122,122,122,122,122,122,122,122,122,122,1220
2021/3/11,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,1241
2021/3/12,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,126.4,1264
2021/3/13,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,129.1,1291
2021/3/14,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,132.3,1323
2021/3/15,136.2,136.2,136.2,136.2,136.2,136.2,136.2,136.2,136.2,136.2,1362
2021/3/16,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,140.8,1408
2021/3/17,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,146.4,1464
2021/3/18,153,153,153,153,153,153,153,153,153,153,1530
2021/3/19,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,160.8,1608
2021/3/20,169.9,169.9,169.9,169.9,169.9,169.9,169.9,169.9,169.9,169.9,1699
2021/3/21,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,180.1,1801
2021/3/22,191.2,191.2,191.2,191.2,191.2,191.2,191.2,191.2,191.2,191.2,1912
2021/3/23,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,203.1,2031
2021/3/24,215.7,215.7,215.7,215.7,215.7,215.7,215.7,215.7,215.7,215.7,2157
2021/3/25,228.7,228.7,228.7,228.7,228.7,228.7,228.7,228.7,228.7,228.7,2287
2021/3/26,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,241.9,2419
2021/3/27,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,255.3,2553
2021/3/28,268.7,268.7,268.7,268.7,268.7,268.7,268.7,268.7,268.7,268.7,2687
2021/3/29,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,281.8,2818
2021/3/30,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,294.5,2945
2021/3/31,307,307,307,307,307,307,307,307,307,307,3070
2021/4/1,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,319.2,3192
2021/4/2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,331.2,3312
2021/4/3,343,343,343,343,343,343,343,343,343,343,3430
2021/4/4,354.8,354.8,354.8,354.8,354.8,354.8,354.8,354.8,354.8,354.8,3548
2021/4/5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,366.5,3665
2021/4/6,378.3,378.3,378.3,378.3,378.3,378.3,378.3,378.3,378.3,378.3,3783
2021/4/7,390.1,390.1,390.1,390.1,390.1,390.1,390.1,390.1,390.1,390.1,3901
2021/4/8,402,402,402,402,402,402,402,402,402,402,4020
2021/4/9,414.1,414.1,414.1,414.1,414.1,414.1,414.1,414.1,414.1,414.1,4141
2021/4/10,425.9,425.9,425.9,425.9,425.9,425.9,425.9,425.9,425.9,425.9,4259
2021/4/11,437.3,437.3,437.3,437.3,437.3,437.3,437.3,437.3,437.3,437.3,4373
2021/4/12,448,448,448,448,448,448,448,448,448,448,4480
2021/4/13,457.6,457.6,457.6,457.6,457.6,457.6,457.6,457.6,457.6,457.6,4576
2021/4/14,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8,465.8,4658
2021/4/15,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,472.5,4725
2021/4/16,477.2,477.2,477.2,477.2,477.2,477.2,477.2,477.2,477.2,477.2,4772
2021/4/17,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,4797
2021/4/18,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,479.7,4797
2021/4/19,477.3,477.3,477.3,477.3,477.3,477.3,477.3,477.3,477.3,477.3,4773
2021/4/20,473.2,473.2,473.2,473.2,473.2,473.2,473.2,473.2,473.2,473.2,4732
2021/4/21,468.3,468.3,468.3,468.3,468.3,468.3,468.3,468.3,468.3,468.3,4683
2021/4/22,463.4,463.4,463.4,463.4,463.4,463.4,463.4,463.4,463.4,463.4,4634
2021/4/23,459.4,459.4,459.4,459.4,459.4,459.4,459.4,459.4,459.4,459.4,4594
2021/4/24,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,457.3,4573
2021/4/25,457.7,457.7,457.7,457.7,457.7,457.7,457.7,457.7,457.7,457.7,4577
2021/4/26,461.8,461.8,461.8,461.8,461.8,461.8,461.8,461.8,461.8,461.8,4618
2021/4/27,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,470.2,4702
2021/4/28,483.8,483.8,483.8,483.8,483.8,483.8,483.8,483.8,483.8,483.8,4838
2021/4/29,502.8,502.8,502.8,502.8,502.8,502.8,502.8,502.8,502.8,502.8,5028
2021/4/30,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,525.5,5255
2021/5/1,550.3,550.3,550.3,550.3,550.3,550.3,550.3,550.3,550.3,550.3,5503
2021/5/2,575.4,575.4,575.4,575.4,575.4,575.4,575.4,575.4,575.4,575.4,5754
2021/5/3,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,599.1,5991
2021/5/4,619.6,619.6,619.6,619.6,619.6,619.6,619.6,619.6,619.6,619.6,6196
2021/5/5,635.4,635.4,635.4,635.4,635.4,635.4,635.4,635.4,635.4,635.4,6354
2021/5/6,644.5,644.5,644.5,644.5,644.5,644.5,644.5,644.5,644.5,644.5,6445
2021/5/7,645.4,645.4,645.4,645.4,645.4,645.4,645.4,645.4,645.4,645.4,6454
2021/5/8,636.3,636.3,636.3,636.3,636.3,636.3,636.3,636.3,636.3,636.3,6363
2021/5/9,616.7,616.7,616.7,616.7,616.7,616.7,616.7,616.7,616.7,616.7,6167
2021/5/10,588.3,588.3,588.3,588.3,588.3,588.3,588.3,588.3,588.3,588.3,5883
2021/5/11,552.9,552.9,552.9,552.9,552.9,552.9,552.9,552.9,552.9,552.9,5529
2021/5/12,512.5,512.5,512.5,512.5,512.5,512.5,512.5,512.5,512.5,512.5,5125
2021/5/13,469,469,469,469,469,469,469,469,469,469,4690
2021/5/14,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,424.3,4243
2021/5/15,380.3,380.3,380.3,380.3,380.3,380.3,380.3,380.3,380.3,380.3,3803
2021/5/16,338.8,338.8,338.8,338.8,338.8,338.8,338.8,338.8,338.8,338.8,3388
2021/5/17,301.8,301.8,301.8,301.8,301.8,301.8,301.8,301.8,301.8,301.8,3018
2021/5/18,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,271.1,2711
2021/5/19,247.7,247.7,247.7,247.7,247.7,247.7,247.7,247.7,247.7,247.7,2477
2021/5/20,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,230.6,2306
2021/5/21,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,218.7,2187
2021/5/22,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,2112
2021/5/23,206.9,206.9,206.9,206.9,206.9,206.9,206.9,206.9,206.9,206.9,2069
2021/5/24,204.9,204.9,204.9,204.9,204.9,204.9,204.9,204.9,204.9,204.9,2049
2021/5/25,204,204,204,204,204,204,204,204,204,204,2040
2021/5/26,203.4,203.4,203.4,203.4,203.4,203.4,203.4,203.4,203.4,203.4,2034
2021/5/27,201.9,201.9,201.9,201.9,201.9,201.9,201.9,201.9,201.9,201.9,2019
2021/5/28,198.5,198.5,198.5,198.5,198.5,198.5,198.5,198.5,198.5,198.5,1985
2021/5/29,192.9,192.9,192.9,192.9,192.9,192.9,192.9,192.9,192.9,192.9,1929
2021/5/30,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,185.3,1853
2021/5/31,176.5,176.5,176.5,176.5,176.5,176.5,176.5,176.5,176.5,176.5,1765
2021/6/1,166.8,166.8,166.8,166.8,166.8,166.8,166.8,166.8,166.8,166.8,1668
2021/6/2,156.7,156.7,156.7,156.7,156.7,156.7,156.7,156.7,156.7,156.7,1567
2021/6/3,146.7,146.7,146.7,146.7,146.7,146.7,146.7,146.7,146.7,146.7,1467
2021/6/4,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,137.5,1375
2021/6/5,129.4,129.4,129.4,129.4,129.4,129.4,129.4,129.4,129.4,129.4,1294
2021/6/6,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,122.9,1229
2021/6/7,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,118.6,1186
2021/6/8,116.6,116.6,116.6,116.6,116.6,116.6,116.6,116.6,116.6,116.6,1166
2021/6/9,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,1165
2021/6/10,118,118,118,118,118,118,118,118,118,118,1180
2021/6/11,120.7,120.7,120.7,120.7,120.7,120.7,120.7,120.7,120.7,120.7,1207
2021/6/12,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,124.1,1241
2021/6/13,128.1,128.1,128.1,128.1,128.1,128.1,128.1,128.1,128.1,128.1,1281
2021/6/14,132.1,132.1,132.1,132.1,132.1,132.1,132.1,132.1,132.1,132.1,1321
2021/6/15,135.7,135.7,135.7,135.7,135.7,135.7,135.7,135.7,135.7,135.7,1357
2021/6/16,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,138.7,1387
2021/6/17,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,140.6,1406
2021/6/18,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,1414
2021/6/19,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,141.5,1415
2021/6/20,141.2,141.2,141.2,141.2,141.2,141.2,141.2,141.2,141.2,141.2,1412
2021/6/21,141,141,141,141,141,141,141,141,141,141,1410
2021/6/22,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,141.4,1414
2021/6/23,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,142.6,1426
2021/6/24,145,145,145,145,145,145,145,145,145,145,1450
2021/6/25,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,149.2,1492
2021/6/26,155.5,155.5,155.5,155.5,155.5,155.5,155.5,155.5,155.5,155.5,1555
2021/6/27,164.2,164.2,164.2,164.2,164.2,164.2,164.2,164.2,164.2,164.2,1642
2021/6/28,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,175.5,1755
2021/6/29,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,188.7,1887
2021/6/30,203.3,203.3,203.3,203.3,203.3,203.3,203.3,203.3,203.3,203.3,2033
2021/7/1,219,219,219,219,219,219,219,219,219,219,2190
2021/7/2,235.1,235.1,235.1,235.1,235.1,235.1,235.1,235.1,235.1,235.1,2351
2021/7/3,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,251.2,2512
2021/7/4,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,266.7,2667
2021/7/5,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,281.2,2812
2021/7/6,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,294.1,2941
2021/7/7,305,305,305,305,305,305,305,305,305,305,3050
2021/7/8,314.4,314.4,314.4,314.4,314.4,314.4,314.4,314.4,314.4,314.4,3144
2021/7/9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,323.9,3239
2021/7/10,335.1,335.1,335.1,335.1,335.1,335.1,335.1,335.1,335.1,335.1,3351
2021/7/11,349.7,349.7,349.7,349.7,349.7,349.7,349.7,349.7,349.7,349.7,3497
2021/7/12,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2,3692
2021/7/13,395.2,395.2,395.2,395.2,395.2,395.2,395.2,395.2,395.2,395.2,3952
2021/7/14,429.5,429.5,429.5,429.5,429.5,429.5,429.5,429.5,429.5,429.5,4295
2021/7/15,473.5,473.5,473.5,473.5,473.5,473.5,473.5,473.5,473.5,473.5,4735
2021/7/16,529,529,529,529,529,529,529,529,529,529,5290
2021/7/17,597.4,597.4,597.4,597.4,597.4,597.4,597.4,597.4,597.4,597.4,5974
2021/7/18,677.8,677.8,677.8,677.8,677.8,677.8,677.8,677.8,677.8,677.8,6778
2021/7/19,767.3,767.3,767.3,767.3,767.3,767.3,767.3,767.3,767.3,767.3,7673
2021/7/20,862.5,862.5,862.5,862.5,862.5,862.5,862.5,862.5,862.5,862.5,8625
2021/7/21,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,960.3,9603
2021/7/22,1057.5,1057.5,1057.5,1057.5,1057.5,1057.5,1057.5,1057.5,1057.5,1057.5,10575
2021/7/23,1151,1151,1151,1151,1151,1151,1151,1151,1151,1151,11510
2021/7/24,1237.6,1237.6,1237.6,1237.6,1237.6,1237.6,1237.6,1237.6,1237.6,1237.6,12376
2021/7/25,1314,1314,1314,1314,1314,1314,1314,1314,1314,1314,13140
2021/7/26,1377.1,1377.1,1377.1,1377.1,1377.1,1377.1,1377.1,1377.1,1377.1,1377.1,13771
2021/7/27,1423.9,1423.9,1423.9,1423.9,1423.9,1423.9,1423.9,1423.9,1423.9,1423.9,14239
2021/7/28,1455,1455,1455,1455,1455,1455,1455,1455,1455,1455,14550
2021/7/29,1474,1474,1474,1474,1474,1474,1474,1474,1474,1474,14740
2021/7/30,1484.6,1484.6,1484.6,1484.6,1484.6,1484.6,1484.6,1484.6,1484.6,1484.6,14846
2021/7/31,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,1490.5,14905
2021/8/1,1495.4,1495.4,1495.4,1495.4,1495.4,1495.4,1495.4,1495.4,1495.4,1495.4,14954
2021/8/2,1503,1503,1503,1503,1503,1503,1503,1503,1503,1503,15030
2021/8/3,1517.1,1517.1,1517.1,1517.1,1517.1,1517.1,1517.1,1517.1,1517.1,1517.1,15171
2021/8/4,1541.4,1541.4,1541.4,1541.4,1541.4,1541.4,1541.4,1541.4,1541.4,1541.4,15414
2021/8/5,1579.6,1579.6,1579.6,1579.6,1579.6,1579.6,1579.6,1579.6,1579.6,1579.6,15796
2021/8/6,1635,1635,1635,1635,1635,1635,1635,1635,1635,1635,16350
2021/8/7,1706.6,1706.6,1706.6,1706.6,1706.6,1706.6,1706.6,1706.6,1706.6,1706.6,17066
2021/8/8,1789.8,1789.8,1789.8,1789.8,1789.8,1789.8,1789.8,1789.8,1789.8,1789.8,17898
2021/8/9,1879.7,1879.7,1879.7,1879.7,1879.7,1879.7,1879.7,1879.7,1879.7,1879.7,18797
2021/8/10,1971.7,1971.7,1971.7,1971.7,1971.7,1971.7,1971.7,1971.7,1971.7,1971.7,19717
2021/8/11,2060.9,2060.9,2060.9,2060.9,2060.9,2060.9,2060.9,2060.9,2060.9,2060.9,20609
2021/8/12,2142.6,2142.6,2142.6,2142.6,2142.6,2142.6,2142.6,2142.6,2142.6,2142.6,21426
2021/8/13,2212,2212,2212,2212,2212,2212,2212,2212,2212,2212,22120
2021/8/14,2264.4,2264.4,2264.4,2264.4,2264.4,2264.4,2264.4,2264.4,2264.4,2264.4,22644
2021/8/15,2295.1,2295.1,2295.1,2295.1,2295.1,2295.1,2295.1,2295.1,2295.1,2295.1,22951
2021/8/16,2299.5,2299.5,2299.5,2299.5,2299.5,2299.5,2299.5,2299.5,2299.5,2299.5,22995
2021/8/17,2277.7,2277.7,2277.7,2277.7,2277.7,2277.7,2277.7,2277.7,2277.7,2277.7,22777
2021/8/18,2232.8,2232.8,2232.8,2232.8,2232.8,2232.8,2232.8,2232.8,2232.8,2232.8,22328
2021/8/19,2167.9,2167.9,2167.9,2167.9,2167.9,2167.9,2167.9,2167.9,2167.9,2167.9,21679
2021/8/20,2086.3,2086.3,2086.3,2086.3,2086.3,2086.3,2086.3,2086.3,2086.3,2086.3,20863
2021/8/21,1991.2,1991.2,1991.2,1991.2,1991.2,1991.2,1991.2,1991.2,1991.2,1991.2,19912
