"date","a0009","a1019","a2029","a3039","a4049","a5059","a6069","a7079","a8089","a90"
2021-02-17,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,8.03108090027282e-09,2.66481514625887e-06,2.38251439995964e-06,1.40566646795065e-06,7.76241831554136e-07,1.99988339748824e-06,9.201929299309e-08,4.65748351655292e-08,3.62989317938296e-07
2021-02-19,0,2.45871923726492e-08,8.08551573733682e-06,7.22969206199045e-06,4.27404852641567e-06,2.36659556302096e-06,6.10255191357544e-06,2.85168387804263e-07,1.45240671970806e-07,1.12267636737614e-06
2021-02-20,0,5.01926637921375e-08,1.63562625790125e-05,1.46264971190002e-05,8.66450363357812e-06,4.8107763033889e-06,1.24161843229164e-05,5.89459715489848e-07,3.0216696868685e-07,2.31589873112479e-06
2021-02-21,0,8.5404072629424e-08,2.75744103398981e-05,2.46608042443866e-05,1.463879040249e-05,8.15043384268748e-06,2.10545052099011e-05,1.01589690175097e-06,5.24253840060622e-07,3.98291342829408e-06
2021-02-22,0,1.30812227743161e-07,4.18406142572916e-05,3.7423497060437e-05,2.22611651044062e-05,1.24292466224772e-05,3.21370672152517e-05,1.57657287220131e-06,8.19218582206408e-07,6.16771406514905e-06
2021-02-23,0,1.8704427463687e-07,5.92589402943977e-05,5.30085697828077e-05,3.15984819984168e-05,1.76930202430737e-05,4.57895474292832e-05,2.2847776637406e-06,1.19569244192144e-06,8.91837735154819e-06
2021-02-24,0,2.54765930179525e-07,7.99369788525619e-05,7.15132322010369e-05,4.27202976347453e-05,2.3989790723771e-05,6.21440586177723e-05,3.15511690147409e-06,1.66332884286964e-06,1.22874416922571e-05
2021-02-25,0,3.3468385474983e-07,0.000103985962144709,9.30380180976759e-05,5.56989792843919e-05,3.13699327423633e-05,8.13394759971702e-05,4.20364199528347e-06,2.23292442445116e-06,1.63323208105029e-05
2021-02-26,0,4.27548170253417e-07,0.000131520885338732,0.000117686897211271,7.06098176532741e-05,3.98862730907308e-05,0.000103521780307794,5.44799321412405e-06,2.91655440947323e-06,2.11157556315495e-05
2021-02-27,0,5.34155132981473e-07,0.000162660631582153,0.000145567390851127,8.75311440446497e-05,4.95942095941816e-05,0.000128844417966653,6.9075569103036e-06,3.72772399594954e-06,2.67063079487768e-05
2021-02-28,0,6.55349970830505e-07,0.000197528101021961,0.000176790691274482,0.000106544452139407,6.05518357536307e-05,0.000157468679115702,8.60363829138298e-06,4.68153766870344e-06,3.31788997158261e-05
2021-03-01,0,7.92029894987922e-07,0.000236250343936137,0.000211471784939485,0.00012773452456977,7.28200713815784e-05,0.000189564094416606,1.0559651275017e-05,5.79488855041519e-06,4.06154021580971e-05
2021-03-02,0,9.45147296809074e-07,0.000278958698095932,0.000249729579750115,0.0001511895644681,8.64627995152328e-05,0.000225308851479438,1.28013271132174e-05,7.08667016210483e-06,4.91052792776675e-05
2021-03-03,0,1.11571314127044e-06,0.00032578893048061,0.000291687036411962,0.000177001332178765,0.000101547009903024,0.000264890231850274,1.53569436384717e-05,8.57801324286955e-06,5.87462907401778e-05
2021-03-04,0,1.30480056908313e-06,0.000376881383468889,0.000337471304020578,0.000205265287327532,0.000118142949374197,0.00030850506952117,1.82575771663246e-05,1.02925505914452e-05,6.96452595831751e-05
2021-03-05,0,1.51354872029337e-06,0.000432381125633899,0.00038721386000693,0.000236080736449536,0.000136324279415166,0.000356360231965645,2.15373792889737e-05,1.22567132416796e-05,8.1918910675847e-05
2021-03-06,0,1.74316679298456e-06,0.000492438107271026,0.000441050654567237,0.000269550986383729,0.000156168241290882,0.000408673124743429,2.52338810138699e-05,1.45000616745788e-05,9.56947863931941e-05
2021-03-07,0,1.99493835153186e-06,0.000557207320790474,0.000499122259707328,0.000305783503648621,0.000177755829064618,0.000465672220759794,2.93883269420928e-05,1.70556562059866e-05,0.000111112246546913
2021-03-08,0,2.27022589974806e-06,0.000626848966108881,0.000561574023034402,0.000344890080021299,0.00020117197088534,0.000527597615307305,3.4046042445444e-05,1.99604711765139e-05,0.000128323560244197
2021-03-09,0,2.57047573520135e-06,0.000701528621176702,0.000628556226431865,0.000386987004548965,0.000226505718928211,0.000594701608061095,3.92568370909766e-05,2.32558581149589e-05,0.000147495098028155
2021-03-10,0,2.89722310198567e-06,0.000781417417780439,0.000700224249755625,0.0004321952422297,0.000253850448390804,0.000667249313242813,4.50754478794815e-05,2.69880636547521e-05,0.000168808633393635
2021-03-11,0,3.25209766028553e-06,0.000866692222761079,0.000776738739692995,0.000480640619606734,0.00028330406596527,0.00074551929921301,5.15620262129243e-05,3.12088086622498e-05,0.000192462763574146
2021-03-12,0,3.63682929220339e-06,0.000957535824792265,0.00085826578392794,0.000532454017528267,0.000314969228225038,0.000829804258796836,5.87826728878295e-05,3.59759357941302e-05,0.000218674460363734
2021-03-13,0,4.05325426451297e-06,0.00105413712686387,0.000944977090759079,0.000587771571332738,0.000348953570383671,0.000920411711693373,6.68100258302743e-05,4.13541335477638e-05,0.000247680762676635
2021-03-14,0,4.50332177027045e-06,0.00115669134461859,0.00103705017431935,0.000646734878727479,0.000385369945903197,0.00101766474036447,7.57239057468579e-05,4.74157458132681e-05,0.000279740623562017
