date,comm,,,,work,house,obon
2021-03-01,-15,-1,-14,-25,-10,5,0
2021-03-02,-21,-10,-39,-30,-13,8,0
2021-03-03,-12,2,-13,-26,-12,5,0
2021-03-04,-15,-3,-15,-26,-12,6,0
2021-03-05,-19,-5,-27,-28,-12,8,0
2021-03-06,-13,0,-16,-27,-11,6,0
2021-03-07,-13,-2,-15,-29,-9,4,0
2021-03-08,-16,-6,-29,-25,-12,6,0
2021-03-09,-10,0,-9,-25,-12,6,0
2021-03-10,-10,0,-7,-24,-12,5,0
2021-03-11,-10,0,-6,-24,-12,5,0
2021-03-12,-15,-4,-24,-26,-13,7,0
2021-03-13,-16,-7,-43,-30,-15,7,0
2021-03-14,-7,3,0,-20,-8,3,0
2021-03-15,-10,0,-6,-22,-11,5,0
2021-03-16,-10,0,-9,-23,-12,6,0
2021-03-17,-10,0,-2,-23,-12,5,0
2021-03-18,-9,1,-3,-22,-12,5,0
2021-03-19,-9,1,-2,-23,-14,6,0
2021-03-20,-7,4,-4,-21,-27,5,0
2021-03-21,-22,-14,-51,-33,-12,6,0
2021-03-22,-11,-2,-13,-21,-12,5,0
2021-03-23,-5,2,9,-20,-12,5,0
2021-03-24,-6,1,14,-20,-12,4,0
2021-03-25,-6,3,-5,-21,-13,5,0
2021-03-26,-8,1,13,-20,-14,5,0
2021-03-27,-6,6,33,-12,-12,2,0
2021-03-28,-14,-4,-27,-24,-9,4,0
2021-03-29,-5,1,17,-19,-14,4,0
2021-03-30,-1,3,20,-19,-14,5,0
2021-03-31,-3,3,23,-18,-12,4,0
2021-04-01,-8,2,13,-19,-13,4,0
2021-04-02,-13,-1,8,-22,-14,6,0
2021-04-03,-9,4,19,-17,-13,4,0
2021-04-04,-15,-5,-24,-26,-12,5,0
2021-04-05,-12,-2,-18,-22,-14,5,0
2021-04-06,-8,1,1,-21,-15,5,0
2021-04-07,-10,1,5,-21,-15,5,0
2021-04-08,-12,0,-5,-21,-14,5,0
2021-04-09,-16,-2,-10,-22,-14,6,0
2021-04-10,-11,4,4,-22,-15,5,0
2021-04-11,-11,3,20,-21,-10,3,0
2021-04-12,-15,-2,-7,-20,-12,5,0
2021-04-13,-16,-3,-24,-21,-14,6,0
2021-04-14,-17,-4,-21,-22,-14,6,0
2021-04-15,-9,7,-3,-19,-12,4,0
2021-04-16,-15,1,-12,-22,-13,6,0
2021-04-17,-18,-5,-41,-30,-15,7,0
2021-04-18,-11,2,-1,-24,-11,4,0
2021-04-19,-14,-1,-4,-19,-11,5,0
2021-04-20,-9,5,5,-19,-12,5,0
2021-04-21,-12,2,4,-20,-12,5,0
2021-04-22,-13,2,-3,-21,-12,5,0
2021-04-23,-14,2,-4,-21,-12,6,0
2021-04-24,-10,5,6,-21,-12,4,0
2021-04-25,-15,3,5,-29,-11,4,0
2021-04-26,-16,1,-7,-21,-11,5,0
2021-04-27,-12,4,2,-22,-12,5,0
2021-04-28,-13,3,-13,-21,-12,5,0
